NodeOne,Relation,NodeTwo,NodeClass
Sales Coordinator,belongsToIndustry,Consumer Goods and FMCG,Industry
Sales Coordinator,belongsToIndustry,Telecommunications,Industry
Sales Coordinator,belongsToIndustry,Construction and Building Materials,Industry
Sales Coordinator,belongsToIndustry,Education and Training,Industry
Sales Coordinator,belongsToIndustry,Hospitality Industry,Industry
Sales Coordinator,belongsToIndustry,Pharmaceutical Industry,Industry
Sales Coordinator,belongsToIndustry,Automotive Industry,Industry
Sales Coordinator,belongsToIndustry,Real Estate,Industry
Sales Coordinator,belongsToIndustry,Luxury Goods,Industry
Sales Coordinator,belongsToIndustry,Travel and Tourism,Industry
Sales Coordinator,belongsToIndustry,Entertainment and Media,Industry
Sales Coordinator,belongsToIndustry,Security Services,Industry
Sales Coordinator,belongsToIndustry,Sports and Recreation,Industry
Sales Coordinator,belongsToIndustry,Human Resources and Recruitment,Industry
Sales Coordinator,requiresJobPreference,WFH,WorkType
Sales Coordinator,requiresJobPreference,Office,WorkType
Sales Coordinator,requiresJobPreference,Field Jobs,WorkType
Sales Coordinator,requiresContractType,Full-time,CompanyType
Sales Coordinator,requiresContractType,Part-time,CompanyType
Sales Coordinator,requiresContractType,Contract roles,CompanyType
Sales Coordinator,requiresShift,Rotational shifts,WorkShift
Sales Coordinator,requiresShift,Fixed Shift,WorkShift
Sales Coordinator,requiresShift,Night shift,WorkShift
Sales Coordinator,languageProficiency,English,Proficiency
Sales Coordinator,languageProficiency,Hindi,Proficiency
Sales Coordinator,languageProficiency,Regional languages,Proficiency
Sales Coordinator,salaryBenefit,Performance-based incentives,Compensation
Sales Coordinator,salaryBenefit,Transport Allowance,Compensation
Sales Coordinator,salaryBenefit,Food Allowance,Compensation
Sales Coordinator,salaryBenefit,Accommodation Allowance,Compensation
Sales Coordinator,salaryBenefit,GYM Memberships,Compensation
Sales Coordinator,salaryBenefit,OTT Subscription,Compensation
