NodeOne,Relation,NodeTwo,NodeClass
Business Development Executive,requiresSkill,Persuasive Abilities,Skills
Business Development Executive,requiresSkill,Customer Relations,Skills
Business Development Executive,requiresSkill,Emotional Intelligence,Skills
Business Development Executive,belongsToIndustry,Banking,Industry
Business Development Executive,belongsToIndustry,Technology,Industry
Business Development Executive,belongsToIndustry,Retail,Industry
Business Development Executive,belongsToIndustry,FMCG,Industry
Business Development Executive,belongsToIndustry,Pharmaceuticals,Industry
Business Development Executive,belongsToIndustry,Consumer Electronics,Industry
Business Development Executive,belongsToIndustry,Telecommunications,Industry
Business Development Executive,belongsToCompanyType,Startups,CompanyType
Business Development Executive,belongsToCompanyType,Reputed Company,CompanyType
Business Development Executive,requiresEducation,Graduate,Qualification
Business Development Executive,requiresFieldOfStudy,Business,EducationalInstitution
Business Development Executive,requiresFieldOfStudy,Commerce,EducationalInstitution
Business Development Executive,requiresFieldOfStudy,IT,EducationalInstitution
Business Development Executive,requiresFieldOfStudy,Economics,EducationalInstitution
Business Development Executive,requiresJobPreference,Field Jobs,JobPreference
Business Development Executive,requiresContractType,Full-time,ContractType
Business Development Executive,requiresContractType,Part-time,ContractType
Business Development Executive,requiresContractType,Contract,ContractType
Business Development Executive,requiresShift,Day Shift,WorkShift
Business Development Executive,salaryBenefit,Incentives,SalaryBenefit
Business Development Executive,salaryBenefit,ESI,SalaryBenefit
Business Development Executive,salaryBenefit,PF,SalaryBenefit
Business Development Executive,salaryBenefit,Insurance,SalaryBenefit
Business Development Executive,salaryBenefit,Travel Allowance,SalaryBenefit
Business Development Executive,salaryBenefit,Petrol Allowance,SalaryBenefit
Business Development Executive,genderPreference,Male,Gender
Business Development Executive,requiresLocation,Metro City,GeographicalLocation
Business Development Executive,requiresLocation,Open to Relocation Across India,GeographicalLocation
Business Development Executive,requiresExperience,1 Years Experience,YearOfExperience
Business Development Executive,assetRequired,Two-Wheeler,Assets
Business Development Executive,assetRequired,License,Assets
Territory Sales Manager,requiresSkill,CRM Usage,Skills
Territory Sales Manager,requiresSkill,Sales Reporting,Skills
Territory Sales Manager,requiresSkill,Market Analysis,Skills
Territory Sales Manager,requiresSkill,POS Systems,Skills
Territory Sales Manager,requiresSkill,Lead Generation Tools,Skills
Territory Sales Manager,requiresSkill,Strong Communication,Skills
Territory Sales Manager,requiresSkill,Persuasive Abilities,Skills
Territory Sales Manager,requiresSkill,Customer Relations,Skills
Territory Sales Manager,requiresSkill,Emotional Intelligence,Skills
Territory Sales Manager,belongsToIndustry,Banking,Industry
Territory Sales Manager,belongsToIndustry,Technology,Industry
Territory Sales Manager,belongsToIndustry,Retail,Industry
Territory Sales Manager,belongsToIndustry,FMCG,Industry
Territory Sales Manager,belongsToIndustry,Pharmaceuticals,Industry
Territory Sales Manager,belongsToIndustry,Consumer Electronics,Industry
Territory Sales Manager,belongsToIndustry,Telecommunications,Industry
Territory Sales Manager,belongsToCompanyType,Startups,CompanyType
Territory Sales Manager,belongsToCompanyType,Reputed Company,CompanyType
Territory Sales Manager,requiresEducation,Graduate,Qualification
Territory Sales Manager,requiresFieldOfStudy,Business,EducationalInstitution
Territory Sales Manager,requiresFieldOfStudy,Commerce,EducationalInstitution
Territory Sales Manager,requiresFieldOfStudy,IT,EducationalInstitution
Territory Sales Manager,requiresFieldOfStudy,Economics,EducationalInstitution
Territory Sales Manager,requiresJobPreference,Field Jobs,JobPreference
Territory Sales Manager,requiresContractType,Full-time,ContractType
Territory Sales Manager,requiresContractType,Part-time,ContractType
Territory Sales Manager,requiresContractType,Contract,ContractType
Territory Sales Manager,requiresShift,Day Shift,WorkShift
Territory Sales Manager,salaryBenefit,Incentives,SalaryBenefit
Territory Sales Manager,salaryBenefit,ESI,SalaryBenefit
Territory Sales Manager,salaryBenefit,PF,SalaryBenefit
Territory Sales Manager,salaryBenefit,Insurance,SalaryBenefit
Territory Sales Manager,salaryBenefit,Travel Allowance,SalaryBenefit
Territory Sales Manager,salaryBenefit,Petrol Allowance,SalaryBenefit
Territory Sales Manager,genderPreference,Male,Gender
Territory Sales Manager,requiresLocation,Metro City,GeographicalLocation
Territory Sales Manager,requiresLocation,Open to Relocation Across India,GeographicalLocation
Territory Sales Manager,requiresExperience,1 Years Experience,YearOfExperience
Territory Sales Manager,assetRequired,Two-Wheeler,Assets
Territory Sales Manager,assetRequired,License,Assets
